word1,word2,image_similarity,text_similarity,multimodal_similarity,stimuli_id,row_id
tortilla,bucket,0.64990234375,0.70458984375,0.66015625,0,0_0
firewood,cup,0.461181640625,0.79931640625,0.61181640625,1,1_0
fire,bowl,0.708984375,0.8359375,0.76611328125,2,2_0
water,bean,0.51953125,0.83056640625,0.68896484375,3,3_0
broom,purse,0.72705078125,0.75537109375,0.7392578125,4,4_0
bean,chile,0.76416015625,0.8046875,0.82177734375,5,5_0
purse,corn,0.71728515625,0.77685546875,0.73388671875,6,6_0
doorway,water,0.62841796875,0.7822265625,0.69091796875,7,7_0
basket,fire,0.6396484375,0.80322265625,0.70947265625,8,8_0
machete,car,0.5712890625,0.76220703125,0.66015625,9,9_0
egg,banana,0.7119140625,0.8134765625,0.7548828125,10,10_0
table,machete,0.685546875,0.74658203125,0.7080078125,11,11_0
ball,broom,0.638671875,0.771484375,0.67919921875,12,12_0
bed,table,0.802734375,0.84765625,0.82470703125,13,13_0
banana,basket,0.68115234375,0.74951171875,0.7080078125,14,14_0
dog,chicken,0.65625,0.89208984375,0.76318359375,15,15_0
chair,house,0.55419921875,0.82177734375,0.6787109375,16,16_0
tree,flower,0.6845703125,0.80712890625,0.7421875,17,17_0
house,pot,0.5830078125,0.8388671875,0.69677734375,18,18_0
bucket,ball,0.6650390625,0.8056640625,0.7255859375,19,19_0
pot,firewood,0.5732421875,0.7939453125,0.68115234375,20,20_0
chile,doorway,0.59423828125,0.724609375,0.66259765625,21,21_0
corn,tree,0.6494140625,0.78369140625,0.708984375,22,22_0
flower,egg,0.6005859375,0.80810546875,0.701171875,23,23_0
cat,dog,0.75537109375,0.931640625,0.830078125,24,24_0
chicken,skirt,0.65576171875,0.7607421875,0.69873046875,25,25_0
bowl,tortilla,0.72509765625,0.775390625,0.74365234375,26,26_0
cup,bed,0.61962890625,0.82373046875,0.6943359375,27,27_0
skirt,cat,0.662109375,0.77880859375,0.71630859375,28,28_0
car,chair,0.499267578125,0.8232421875,0.64501953125,29,29_0
cow,pig,0.8681640625,0.900390625,0.87548828125,61,61_0
elephant,lion,0.849609375,0.86328125,0.841796875,62,62_0
banana,grapes,0.7197265625,0.77734375,0.7255859375,68,68_0
strawberry,peas,0.7138671875,0.724609375,0.71728515625,85,85_0
duck,monkey,0.7333984375,0.841796875,0.7490234375,88,88_0
frog,zebra,0.73681640625,0.70263671875,0.65380859375,89,89_0
slide,crib,0.720703125,0.79833984375,0.77099609375,133,133_0
knife,boot,0.6689453125,0.83447265625,0.7353515625,134,134_0
zipper,hammer,0.77392578125,0.744140625,0.76611328125,135,135_0
flag,ladder,0.73583984375,0.7880859375,0.7431640625,136,136_0
belt,slipper,0.6201171875,0.76611328125,0.7001953125,137,137_0
tape,puzzle,0.5322265625,0.814453125,0.68896484375,138,138_0
